Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
684e6d2c-78b0-4378-9b0d-b66cc72687a7,"2020-08-04, 10:20:23 AM",CloudTrail,ListKeys,,,,us-east-2,,212.103.48.115
90ba2891-62b1-478d-aa21-f20d780528b8,"2020-08-04, 10:20:23 AM",CloudTrail,ListAliases,,,,us-east-2,,212.103.48.115
bfc5012f-3a24-4e1f-9dcf-09872fb9e7ef,"2020-08-04, 10:20:22 AM",CloudTrail,GetTrailStatus,,,,us-east-2,,212.103.48.115
ca6f481f-3ea4-4dc7-a488-1a0bdad22fd6,"2020-08-04, 10:20:22 AM",CloudTrail,ListTopics,,,,us-east-2,,212.103.48.115
929c8e76-8add-4023-a90e-065d2e690059,"2020-08-04, 10:20:21 AM",CloudTrail,GetEventSelectors,,,,us-east-2,,212.103.48.115
a1f3f352-ef19-410c-91f5-6ce3d509a5c5,"2020-08-04, 10:20:21 AM",CloudTrail,ListTags,,,,us-east-2,,212.103.48.115
64dda73e-122c-4b46-873b-998e38e4725e,"2020-08-04, 10:20:18 AM",CloudTrail,GetTrailStatus,,,,us-east-2,,212.103.48.115
29a8097a-2fb7-4a29-871c-33622613a34e,"2020-08-04, 10:20:04 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
5d04897a-0fd4-42d4-b262-ef344745ca9a,"2020-08-04, 10:20:03 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
a2b8bfac-765e-4381-80f4-2018fdc219bc,"2020-08-04, 10:19:41 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
daf0ec7d-c7a6-4d15-a853-7005b6c933c9,"2020-08-04, 10:19:40 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
ca21c3a4-19a0-4cb9-88d0-2b0126558f9e,"2020-08-04, 10:19:38 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
3533f873-f2af-44c0-a066-d75836e49ec6,"2020-08-04, 10:19:37 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
4047763c-adc5-48d3-9ff8-56152e6887bb,"2020-08-04, 10:19:28 AM",Accountant,ChangePassword,,,,us-east-1,,102.67.34.198
3f03bbf3-57ed-44ec-a21c-1ceac85f1e8a,"2020-08-04, 10:19:04 AM",Accountant,GetUser,,,,us-east-1,AccessDenied,102.67.34.198
1a4b4707-27e1-452b-acfc-2e0e217a7ce5,"2020-08-04, 10:19:03 AM",Accountant,GetAccountPasswordPolicy,,,,us-east-1,,102.67.34.198
7c836c12-3a7e-4e46-a891-a914bc5ef2d6,"2020-08-04, 10:19:03 AM",Accountant,ListAccessKeys,,,,us-east-1,AccessDenied,102.67.34.198
9f225715-ddbf-48c2-ba55-93132bde2b73,"2020-08-04, 10:19:03 AM",Accountant,ListSigningCertificates,,,,us-east-1,AccessDenied,102.67.34.198
210f8b73-794f-4333-8c30-db9c0b629593,"2020-08-04, 10:19:01 AM",Accountant,GetAccountPasswordPolicy,,,,us-east-1,,102.67.34.198
74a3f732-b65b-494d-bb04-2e21804dd829,"2020-08-04, 10:19:01 AM",Accountant,ListAccountAliases,,,,us-east-1,AccessDenied,102.67.34.198
bd5443e6-30bc-4ffa-b4ac-50e40769b44b,"2020-08-04, 10:19:01 AM",Accountant,GetAccountSummary,,,,us-east-1,AccessDenied,102.67.34.198
ebee484a-9422-4001-867f-15f6265daa6a,"2020-08-04, 10:19:01 AM",Accountant,ListAccessKeys,,,,us-east-1,AccessDenied,102.67.34.198
3c640ed2-f9fe-4317-bdb1-e2b471154472,"2020-08-04, 10:18:36 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
f0f36508-4c9a-43f6-9c2c-35dc8581d53e,"2020-08-04, 10:18:35 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
5f2b991b-710f-490b-a3a0-bafa5dc3f951,"2020-08-04, 10:18:11 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
05ca8389-c027-4737-80c9-756ec5fc8285,"2020-08-04, 10:18:10 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
6698e95f-e942-474a-9174-f809c526bd49,"2020-08-04, 10:18:07 AM",CloudTrail,DescribeTrails,,,,us-east-2,,212.103.48.115
c04880f4-c9dd-435f-97c9-5b6202aeb4bf,"2020-08-04, 10:18:07 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
3008dfd9-66f2-42c5-afd8-4838d12d2c2b,"2020-08-04, 10:18:06 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
35d4621d-d0a7-4644-be26-df3c0f154dd7,"2020-08-04, 10:17:22 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-2,AccessDenied,212.103.48.115
c92c4a44-a227-46e3-bf20-0b66dc2f639d,"2020-08-04, 10:17:22 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-2,AccessDenied,212.103.48.115
cfcdb3cd-9f04-4108-b44c-cc7c3e885d19,"2020-08-04, 10:17:22 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-2,AccessDenied,212.103.48.115
6d455119-bf9a-4f07-8be0-595bb5edf27c,"2020-08-04, 10:17:21 AM",CloudTrail,GetBucketVersioning,,,,us-east-2,AccessDenied,212.103.48.115
b3e36e42-5f90-46a2-967d-00e04adedb59,"2020-08-04, 10:17:21 AM",CloudTrail,GetBucketEncryption,,,,us-east-2,AccessDenied,212.103.48.115
a01f7244-6d34-4d48-bcd8-57b08da8d431,"2020-08-04, 10:17:20 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-2,AccessDenied,212.103.48.115
0b901a75-76d7-4744-b704-249e77c805c5,"2020-08-04, 10:17:06 AM",CloudTrail,ListKeys,,,,us-east-2,,212.103.48.115
2a59c9a1-2064-4109-860b-b1dae367f7b9,"2020-08-04, 10:17:06 AM",CloudTrail,GetInsightSelectors,,,,us-east-2,InsightNotEnabledException,212.103.48.115
5aea9f6c-fa0b-440d-909a-92ec9020b22c,"2020-08-04, 10:17:06 AM",CloudTrail,ListTags,,,,us-east-2,,212.103.48.115
5b8768de-495e-497c-b7bb-f5b9e9ce38d2,"2020-08-04, 10:17:06 AM",CloudTrail,ListAliases,,,,us-east-2,,212.103.48.115
7c982f9f-c624-43ab-a2fd-391dee274924,"2020-08-04, 10:17:06 AM",CloudTrail,GetTrailStatus,,,,us-east-2,,212.103.48.115
96b38566-1181-476d-b112-e83024d82038,"2020-08-04, 10:17:06 AM",CloudTrail,ListTopics,,,,us-east-2,,212.103.48.115
a9557af7-1d33-46f4-981c-8607df889300,"2020-08-04, 10:17:06 AM",CloudTrail,GetBucketLocation,,,,us-east-2,,212.103.48.115
ae3f8a72-88a0-415e-ae78-e5f9e53604f2,"2020-08-04, 10:17:06 AM",CloudTrail,ListKeys,,,,us-east-2,,212.103.48.115
e3402de6-793b-4768-b3d1-009b9495a9df,"2020-08-04, 10:17:06 AM",CloudTrail,ListAliases,,,,us-east-2,,212.103.48.115
a0689a22-f728-4d24-812c-d68ab05daf50,"2020-08-04, 10:17:05 AM",CloudTrail,GetEventSelectors,,,,us-east-2,,212.103.48.115
b915bd9a-6dd4-4f2c-9a8f-39ff7d7c6d3a,"2020-08-04, 10:17:00 AM",CloudTrail,GetTrailStatus,,,,us-east-2,,212.103.48.115
91ece151-21a8-4cc0-9536-6ae3bbe9da50,"2020-08-04, 10:16:08 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-2,AccessDenied,212.103.48.115
c074eba4-9a20-40e3-8879-ee72e7f2dedd,"2020-08-04, 10:16:08 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-2,AccessDenied,212.103.48.115
2f8ceb67-0a1b-419a-92cc-1341f7a7725d,"2020-08-04, 10:16:07 AM",CloudTrail,GetBucketPublicAccessBlock,,,,us-east-2,AccessDenied,212.103.48.115
3119e479-542e-48ea-b00a-595778d39dd5,"2020-08-04, 10:16:07 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-2,AccessDenied,212.103.48.115
580eca00-d623-478b-a019-640fbc8ef04d,"2020-08-04, 10:16:07 AM",CloudTrail,GetAccountPublicAccessBlock,,,,us-east-2,AccessDenied,212.103.48.115
b974f62e-b17c-4095-b3ef-682814090575,"2020-08-04, 10:16:07 AM",CloudTrail,GetBucketEncryption,,,,us-east-2,AccessDenied,212.103.48.115
